year,category,recipient,location,grant_description,award_amt
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Association Tela Botanica,"Montpellier, France",To continue support of the development of a coordinated digital database of images and information on African plants,"141,000"
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Association Tela Botanica,"Montpellier, France",To support the development of a coordinated digital database of images and information on African plants,"75,500"
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Boston University,"Boston, Massachusetts",To support an ecological research and training program led by a junior faculty scientist,"300,000"
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Botanische Staatssammlung München,"Munich, Germany",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"210,000"
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Botanische Staatssammlung München,"Munich, Germany",To continue support of the development of a coordinated digital database of images and information on African plants,"7,300"
2007,CONSERVATION AND THE ENVIRONMENT                                                               ,Brown University,"Providence, Rhode Island",To support an ecological research and training program led by a junior faculty scientist,"293,000"
2007,CONSERVATION AND THE ENVIRONMENT,California Academy of Sciences,"San Francisco, California",To support the development of a coordinated digital database of images and information on Latin American plants,"62,000"
2007,CONSERVATION AND THE ENVIRONMENT,Carnegie Institution of Washington,"Washington, DC",To support a program of ecological research and training,"750,000"
2007,CONSERVATION AND THE ENVIRONMENT,Centro Studi Erbario Tropicale,"Florence, Italy",To continue support of the development of a coordinated digital database of images and information on African plants,"45,000"
2007,CONSERVATION AND THE ENVIRONMENT,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"269,000"
2007,CONSERVATION AND THE ENVIRONMENT,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To continue support of the development of a coordinated digital database of images and information on African plants,"62,000"
2007,CONSERVATION AND THE ENVIRONMENT,"Ecological Society of America, Inc.","Washington, DC",To support a program to diversify and strengthen the Society and the field,"750,000"
2007,CONSERVATION AND THE ENVIRONMENT,Fairchild Tropical Botanic Garden,"Coral Gables, Florida",To support a plan to organize smaller herbaria in the Caribbean for participation in the Latin American Plants Initiative,"23,000"
2007,CONSERVATION AND THE ENVIRONMENT,Flora of North America Association,"Point Arena, California",To provide general support,"200,000"
2007,CONSERVATION AND THE ENVIRONMENT,Free University of Berlin,"Berlin, Germany",To support the development of a coordinated digital database of images and information on Latin American plants,"109,000"
2007,CONSERVATION AND THE ENVIRONMENT,Friedrich-Schiller-Universität Jena,"Jena, Germany",To support the development of a coordinated digital database of images and information on Latin American plants,"181,000"
2007,CONSERVATION AND THE ENVIRONMENT,Harvard University,"Cambridge, Massachusetts",To continue support of the development of a coordinated digital database of images and information on the plants of Latin America and other areas,"122,000"
2007,CONSERVATION AND THE ENVIRONMENT,Institut Botànic de Barcelona - Institut de Cultura,"Barcelona, Spain",To support the development of a coordinated digital database of images and information on African plants,"17,700"
2007,CONSERVATION AND THE ENVIRONMENT,Institut Fondamental d'Afrique Noire Cheikh Anta Diop,"Dakar, Sénégal",To support the development of a coordinated digital database of images and information on African plants,"20,000"
2007,CONSERVATION AND THE ENVIRONMENT,Instituto de Botânica,"Sao Paulo, Brazil",To support the development of a coordinated digital database of images and information on Latin American plants,"32,000"
2007,CONSERVATION AND THE ENVIRONMENT,Instituto de Botánica Darwinion,"Buenos Aires, Argentina",To continue support of the development of a coordinated digital database of images and information on the plants of Latin America and other areas,"181,000"
2007,CONSERVATION AND THE ENVIRONMENT,Instituto de Botánica Darwinion,"Buenos Aires, Argentina",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"38,000"
2007,CONSERVATION AND THE ENVIRONMENT,Instituto de Investigação Cientifica Tropical,"Lisbon, Portugal",To continue support of the development of a coordinated digital database of images and information on African plants,"50,000"
2007,CONSERVATION AND THE ENVIRONMENT,Instituto Nacional de Tecnologia Agropecuaria,"Buenos Aires, Argentina",To support the development of a coordinated digital database of images and information on the plants of Latin America and other areas,"17,200"
2007,CONSERVATION AND THE ENVIRONMENT,Komarov Botanical Institute of Russian Academy,"St. Petersburg, Russian Federation",To support the development of a coordinated digital database of images and information on Latin American plants,"54,000"
