year,category,recipient,location,grant_description,award_amt
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,American Museum of Natural History,"New York, New York",To support and endow efforts for developing new exhibitions and enhanced revenues that will be supportive of the Museum's mission,"5,000,000"
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,Association Tela Botanica,"Montpellier, France",To continue support of the development of a coordinated digital database of images and information on African plants,"110,000"
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,Association Tela Botanica,"Montpellier, France",To continue support of the development of a coordinated digital database of images and information on African plants,"55,000"
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,Botanische Staatssammlung München,"Munich, Germany",To support the development of a coordinated digital database of images and information on African plants,"100,000"
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,Centro Studi Erbario Tropicale,"Florence, Italy",To support the development of a coordinated digital database of images and information on African plants,"55,000"
2005,CONSERVATION AND THE ENVIRONMENT                                                               ,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To support the development of a coordinated digital database of images and information on African plants,"75,000"
2005,CONSERVATION AND THE ENVIRONMENT,Corporacion para el Desarrollo de las Ciencias,"Santiago, Chile",To support the Latin American Plants Sciences Network (Red Latinoamericana de Botanica),"260,000"
2005,CONSERVATION AND THE ENVIRONMENT,"Ecological Society of America, Inc.","Washington, DC",To complete the expansion of JSTOR's collection of titles in ecology and biology,"300,000"
2005,CONSERVATION AND THE ENVIRONMENT,"Ithaka Harbors, Inc.","New York, New York","To support travel for African partners participating in the African Plants Initiative to attend the International Botanical Congress in Vienna, Austria, in July 2005","44,000"
2005,CONSERVATION AND THE ENVIRONMENT,Legal Personality of the National Botanic Garden,"Meise, Belgium",To continue support of the development of a coordinated digital database of images and information on African plants,"220,000"
2005,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri",To support the development of a coordinated digital database of images and information on African plants,"75,000"
2005,CONSERVATION AND THE ENVIRONMENT,Muséum National d'Histoire Naturelle,"Paris, France",To support the development of a coordinated digital database of images and information on African plants,"72,000"
