year,category,recipient,location,grant_description,award_amt
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Botanische Staatssammlung München,"Munich, Germany",To continue support of the development of a coordinated digital database of images and information on African plants,"71,000"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Botanische Staatssammlung München,"Munich, Germany",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"28,700"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Center for Resource Economics,"Washington, DC",To support an operating reserve fund and the publications program of Island Press,"1,000,000"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Clemson University,"Clemson, South Carolina",To support an ecological research and training program led by a junior faculty scientist,"177,000"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To support the development of a coordinated digital database of images and information on Latin American plants,"100,000"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To continue support of the development of a coordinated digital database of images and information on African plants,"44,000"
2006,CONSERVATION AND THE ENVIRONMENT                                                          ,Conservatoire et Jardin Botaniques,"Geneva, Switzerland",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"5,700"
2006,CONSERVATION AND THE ENVIRONMENT,Field Museum of Natural History,"Chicago, Illinois",To support an endowment for a senior conservation ecology position,"1,000,000"
2006,CONSERVATION AND THE ENVIRONMENT,Field Museum of Natural History,"Chicago, Illinois",To support the development of a coordinated digital database of images and information on Latin American plants,"169,000"
2006,CONSERVATION AND THE ENVIRONMENT,Field Museum of Natural History,"Chicago, Illinois",To support a training program for Latin American scientists,"150,000"
2006,CONSERVATION AND THE ENVIRONMENT,Forestry Research Institute of Nigeria,"Ibadan, Nigeria",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,Free University of Berlin,"Berlin, Germany",To support the development of a coordinated digital database of images and information on Latin American plants,"178,000"
2006,CONSERVATION AND THE ENVIRONMENT,Free University of Berlin,"Berlin, Germany",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,Harvard University,"Cambridge, Massachusetts",To support the development of a coordinated digital database of images and information on Latin American Plants,"102,000"
2006,CONSERVATION AND THE ENVIRONMENT,Instituto de Botánica Darwinion,"Buenos Aires, Argentina",To support the development of a coordinated digital database of images and information on Latin American plants,"35,000"
2006,CONSERVATION AND THE ENVIRONMENT,Instituto de Botánica del Nordeste,"Corrientes, Argentina",To support the development of a coordinated digital database of images and information on Latin American plants,"32,000"
2006,CONSERVATION AND THE ENVIRONMENT,Instituto de Investigação Cientifica Tropical,"Lisbon, Portugal",To continue support of the development of a coordinated digital database of images and information on African plants and to begin a similar effort in Latin America,"50,000"
2006,CONSERVATION AND THE ENVIRONMENT,Instituto de Investigação Cientifica Tropical,"Lisbon, Portugal",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,Instituto de Pesquisas Jardim Botânico do,"Rio de Janeiro, Brazil",To support the development of a coordinated digital database of images and information on Latin American plants,"44,200"
2006,CONSERVATION AND THE ENVIRONMENT,Legal Personality of the National Botanic Garden,"Meise, Belgium",To continue support of the development of a coordinated digital database of images and information on African plants,"107,000"
2006,CONSERVATION AND THE ENVIRONMENT,Legal Personality of the National Botanic Garden,"Meise, Belgium",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,Makerere University,"Kampala, Uganda",To support the development of a coordinated digital database of images and information on African plants,"13,000"
2006,CONSERVATION AND THE ENVIRONMENT,Makerere University,"Kampala, Uganda",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,300"
2006,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri",To support the development of a coordinated digital database of images and information on Latin American plants,"572,000"
2006,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"7,300"
2006,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri",To support travel for Latin American scientists to participate in the IX Latin American Botanical Congress,"6,200"
2006,CONSERVATION AND THE ENVIRONMENT,Museo di Storia Naturale,"Florence, Italy",To support the development of a coordinated digital database of images and information on African plants,"49,000"
2006,CONSERVATION AND THE ENVIRONMENT,Muséum national d'Histoire naturelle,"Paris, France",To continue support of the development of a coordinated digital database of images and information on African plants,"150,000"
2006,CONSERVATION AND THE ENVIRONMENT,Muséum national d'Histoire naturelle,"Paris, France",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,National Herbarium and Botanic Garden,"Harare, Zimbabwe",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"3,900"
2006,CONSERVATION AND THE ENVIRONMENT,The National Herbarium,"Addis Ababa, Ethiopia",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,National Museums of Kenya,"Nairobi, Kenya",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom",To continue support of the development of a coordinated digital database of images and information on African plants,"150,000"
2006,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom",To continue support of the development of a coordinated digital database of images and information on African plants and to begin a similar effort in Latin America,"95,000"
2006,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"80,000"
2006,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"2,800"
2006,CONSERVATION AND THE ENVIRONMENT,Naturhistorisches Museum Wien,"Vienna, Austria",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"13,000"
2006,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,"Bronx, New York",To support the development of a coordinated digital database of images and information on Latin American plants,"482,000"
2006,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,"Bronx, New York",To support the purchase and distribution of color standards for the African and Latin American Plants Initiatives,"11,500"
2006,CONSERVATION AND THE ENVIRONMENT,Princeton University,"Princeton, New Jersey",To support a program of ecosystem research and training,"15,900"
2006,CONSERVATION AND THE ENVIRONMENT,Rhodes University,"Grahamstown, South Africa",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,The Royal Botanic Garden Edinburgh,"Edinburgh, United Kingdom",To support the development of a coordinated digital database of images and information on African plants,"34,000"
2006,CONSERVATION AND THE ENVIRONMENT,The Royal Botanic Garden Edinburgh,"Edinburgh, United Kingdom",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,500"
2006,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To continue support of the development of a coordinated digital database of images and information on African plants and to begin a similar effort in Latin America,"676,000"
2006,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"661,000"
2006,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To continue support of the development of a coordinated digital database of images and information on African plants,"98,000"
2006,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To continue support of the development of a coordinated digital database of images and information on Latin American plants,"41,000"
2006,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To continue support of the development of a coordinated digital database of images and information on African plants,"40,000"
2006,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support an endowment for the Center for Tropical Forest Science,"1,000,000"
2006,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support the development of a coordinated digital database of images and information on Latin American plants,"234,000"
2006,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support a training program for Latin American scientists at the National Museum of Natural History,"150,000"
2006,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support the development of a coordinated digital database of images and information on Latin American plants,"110,000"
2006,CONSERVATION AND THE ENVIRONMENT,South African National Biodiversity Institute,"Cape Town, South Africa",To continue support of the development of a coordinated digital database of images and information on African plants,"70,000"
2006,CONSERVATION AND THE ENVIRONMENT,South African National Biodiversity Institute,"Cape Town, South Africa",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"19,500"
2006,CONSERVATION AND THE ENVIRONMENT,South African National Parks,"Pretoria, South Africa",To support an ecological research and training program,"377,000"
2006,CONSERVATION AND THE ENVIRONMENT,Southern Illinois University,"Carbondale, Illinois",To support an ecological research and training program led by a junior faculty scientist,"286,000"
2006,CONSERVATION AND THE ENVIRONMENT,Stanford University,"Stanford, California",To support programs of research and training to enhance professional development and capacity building in South Africa and at Stanford,"85,000"
2006,CONSERVATION AND THE ENVIRONMENT,Swedish Museum of Natural History,"Stockholm, Sweden",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"2,800"
2006,CONSERVATION AND THE ENVIRONMENT,Tropical Pesticides Research Institute,"Arusha, Tanzania",To support the travel of African Plants Initiative partners to the 2007 annual meeting,"6,100"
2006,CONSERVATION AND THE ENVIRONMENT,Universidad Nacional de Colombia,"Bogota, Columbia",To support the development of a coordinated digital database of images and information on Latin American plants,"70,000"
2006,CONSERVATION AND THE ENVIRONMENT,Universidade de São Paulo,"São Paulo, Brazil",To support the development of a coordinated digital database of images and information on Latin American plants,"35,000"
