year,category,recipient,location,grant_description,award_amt
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Academy of Arts and Sciences,"Cambridge, Massachusetts",To support the continuation of the Humanities Indicators project,"340,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Academy of Arts and Sciences,"Cambridge, Massachusetts",To support the organization of a commission to examine the nation's system of education in the humanities and social sciences and recommend measures for strengthening it,"277,375"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Council of Learned Societies,"New York, New York",To support the New Faculty Fellowship program for recent PhD recipients in the humanities,"5,081,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Council of Learned Societies,"New York, New York",To support the Charles A. Ryskamp Research Fellowships for advanced junior faculty members in the humanities and humanistic social sciences,"3,451,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Council of Learned Societies,"New York, New York",To support the Frederick Burkhardt Residential Fellowships for recently tenured scholars,"3,065,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Council of Learned Societies,"New York, New York",To support a pilot program allowing extra-academic organizations to appoint PhDs in the humanities to postdoctoral positions,"1,600,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP                                                               ,American Indian College Fund,"Denver, Colorado",To renew a program which promotes scholarly research by tribal college faculty members and students,"500,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,American Political Science Association,"Washington, DC",To support residential workshops for African political scientists,"898,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France","To support curricular collaboration between the American University of Paris and Eugene Lang College, The New School in developing global literary studies, transnational cultural studies, and comparative urban and immigration studies","370,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France","To increase faculty members' opportunities for curricular, scholarly, and professional development","300,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France",To support the collaborative work of the American International Consortium of Academic Libraries,"50,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,"Amherst, Massachusetts",To support strengthening faculty-student research in the humanities and social sciences,"200,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support participation of faculty from colleges in the Appalachian College Association in the Salzburg Global Seminars,"362,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.","Chicago, Illinois","To support summer seminars to engage faculty from the humanities, arts, sciences, and social sciences around contemporary cross-disciplinary topics","700,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.","Atlanta, Georgia",To establish an endowment to support administrative operations that serve academic programs and to assist with current operating costs,"2,700,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Austin College,"Sherman, Texas",To support presidential initiatives,"100,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bard College,"Annandale-on-Hudson, New York",To support environmental studies,"621,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,"New York, New York",To support a faculty research and development seminar to explore personal and social identity within and between nations and cultures,"150,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bates College,"Lewiston, Maine","To support initiatives to strengthen collaboration, curriculum, and leadership in the arts and sciences and to extend and integrate elements of learning","150,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Beloit College,"Beloit, Wisconsin",To support pilot courses in the humanities that connect in-class experiences to the liberal arts in practice,"507,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Beloit College,"Beloit, Wisconsin",To support presidential initiatives,"100,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bennett College,"Greensboro, North Carolina",To support a Center for Global Studies and associated programs,"498,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bennett College,"Greensboro, North Carolina",To support planning for leadership curriculum development,"99,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Berea College,"Berea, Kentucky",To support the reshaping of the college's academic structure,"250,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,"Brunswick, Maine",To support a program of postdoctoral teaching fellowships in the humanities,"600,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support initiatives aimed at strengthening the role the Cogut Center for the Humanities plays in the instructional and scholarly activities of the university,"498,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support the Mellon Mays Undergraduate Fellowship program,"123,800"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support an Emeritus Fellowship,"31,500"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support an Emeritus Fellowship,"29,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Bucknell University,"Lewisburg, Pennsylvania",To support an environmental studies program,"520,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,"Northfield, Minnesota",To support the integration of global studies across the curriculum,"53,286"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,"Pittsburgh, Pennsylvania",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2010,HIGHER EDUCATION AND SCHOLARSHIP,Claremont Graduate University,"Claremont, California",The New Era of Work and Careers,"15,000"
