year,category,recipient,location,grant_description,award_amt
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Brown University,"Providence, Rhode Island",To support ecological research and training,"300,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Carnegie Mellon University,"Pittsburgh, Pennsylvania",To support scholarly research on the implementation and effects of environmental regulations,"200,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Center for Resource Economics,"Washington, DC",To support a publications program,"375,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Colorado College,"Colorado Springs, Colorado",To support ecological research and training,"160,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Drury University,"Springfield, Missouri",To investigate how transfers of materials and nutrients from the surrounding marine environment control plant ecosystems on islands in the Gulf of California,"29,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,Duke University,"Durham, North Carolina",To support ecological research and training,"265,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,"Ecological Society of America, Inc.","Washington, DC",To support a revolving publications fund,"750,000"
2001,CONSERVATION AND THE ENVIRONMENT                                                                          ,"Ecological Society of America, Inc.","Washington, DC",To support programs to encourage minority participation in ecological research and training,"54,000"
2001,CONSERVATION AND THE ENVIRONMENT,Harvard University,"Cambridge, Massachusetts",To support ecological research and training,"330,000"
2001,CONSERVATION AND THE ENVIRONMENT,Idaho State University,"Pocatello, Idaho",To support ecological research and training,"98,000"
2001,CONSERVATION AND THE ENVIRONMENT,Indiana University,"Bloomington, Indiana",To support ecological research and training,"265,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Institute of Ecosystem Studies, Inc.","Millbrook, New York",To support ecological research and training,"320,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Institute of Ecosystem Studies, Inc.","Millbrook, New York",To support ecological research and training,"130,000"
2001,CONSERVATION AND THE ENVIRONMENT,Los Angeles County Museum of Natural History,"Los Angeles, California",To support research on the interrelationships of leaves and fungi in canopy trees at the Smithsonian Tropical Research Institute in Panama and Australia,"21,000"
2001,CONSERVATION AND THE ENVIRONMENT,Natural History Museum,"London, United Kingdom",To digitize botanical images and research materials,"180,000"
2001,CONSERVATION AND THE ENVIRONMENT,Natural History Museum,"London, United Kingdom",To digitize botanical images and research materials,"119,000"
2001,CONSERVATION AND THE ENVIRONMENT,Natural History Museum,"London, United Kingdom",To digitize botanical images and research materials,"115,000"
2001,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,"Bronx, New York",To support ecological research and training,"900,000"
2001,CONSERVATION AND THE ENVIRONMENT,Northern Arizona University,"Flagstaff, Arizona",To support ecological research and training,"290,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.","Durham, North Carolina",To support ecological research and training,"900,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.","Durham, North Carolina",To support ecological research and training,"295,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.","Durham, North Carolina",To support ecological research and training,"260,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.","Durham, North Carolina",To support the development of undergraduate semester-abroad courses and graduate training at Kruger National Park,"50,000"
2001,CONSERVATION AND THE ENVIRONMENT,Pontificia Universidad Catolica de Chile,"Santiago, Chile",To support ecological research and training,"380,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Resources for the Future, Inc.","Washington, DC",To support a fellowship program to study the implementation and effects of environmental regulations,"1,200,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To digitize botanical images and research materials,"230,000"
2001,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To digitize botanical images and research materials,"82,000"
2001,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support a meeting concerning an international electronic initiative to link biology information resources with other institutions,"25,000"
2001,CONSERVATION AND THE ENVIRONMENT,Southwest Missouri State University,"Springfield, Missouri",To support the study of how transfers of nutrients from the surrounding marine environment control plant ecosystems on islands in the Gulf of California,"29,000"
2001,CONSERVATION AND THE ENVIRONMENT,State University of New York at Stony Brook,"Stony Brook, New York",To support ecological research and training,"330,000"
2001,CONSERVATION AND THE ENVIRONMENT,Trust for Public Land,"San Francisco, California",To provide general support,"1,750,000"
2001,CONSERVATION AND THE ENVIRONMENT,"United Negro College Fund, Inc.","Fairfax,Virginia",To support programs to encourage minority participation in ecological research and training,"60,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of California at Berkeley,"Berkeley, California",To support ecological research and training,"395,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of California at Berkeley,"Berkeley, California",To support ecological research and training,"170,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of California at Davis,"Davis, California",To support ecological research and training,"330,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of California at Santa Barbara,"Santa Barbara, California",To support ecological research and training,"360,000"
2001,CONSERVATION AND THE ENVIRONMENT,"University of Cape Town Fund, Inc.","New York, New York",To support ecological research and training,"400,000"
2001,CONSERVATION AND THE ENVIRONMENT,"University of Cape Town Fund, Inc.","New York, New York",To support ecological research and training,"235,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Colorado at Boulder,"Boulder, Colorado",To support ecological research and training,"280,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Connecticut,"Storrs, Connecticut",To support a research project that uses molecular analysis to determine the parentage of trees and seedlings of the canopy palm Iriartea deltoidea in a tropical second growth forest,"17,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Denver,"Denver, Colorado",To support ecological research and training,"145,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Florida,"Gainesville, Florida",To support ecological research and training,"470,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Maine,"Orono, Maine",To support ecological research and training,"80,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Minnesota,"Minneapolis, Minnesota",To support a program to encourage minority participation in ecological research and training,"80,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Pennsylvania,"Philadelphia, Pennsylvania",To support ecological research and training,"435,000"
2001,CONSERVATION AND THE ENVIRONMENT,University of Pennsylvania,"Philadelphia, Pennsylvania",To support ecological research and training,"300,000"
