year,category,recipient,location,grant_description,award_amt
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,California State University at Fullerton,"Fullerton, California",To support ecological research and training programs led by junior faculty scientists,"320,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,Cornell University,"Ithaca, New York",To support a digital library of animal behavior,"300,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,"Ecological Society of America, Inc.","Washington, DC",To support the expansion of JSTOR's collection of titles in ecology and biology,"300,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,"Ecological Society of America, Inc.","Washington, DC",To support volunteer committee members' travel to meetings to assess the field and prepare a report on research needs and opportunities for ecological sciences,"20,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,Free University of Berlin,"Berlin, Germany",To support the creation of a coordinated digital data- base of images and information on African plants,"197,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,"Institute of Ecosystem Studies, Inc.","Millbrook, New York","To continue support for coordinated ecological research and training programs in Kruger National Park, South Africa","370,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                    ,"Institute of Ecosystem Studies, Inc.","Millbrook, New York",To support a program to encourage minority participation in ecological research and training,"66,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                     (),Marine Biological Laboratory,"Woods Hole, Massachusetts",To support the Semester in Environmental Science program,"500,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                     (),Michigan State University,"East Lansing, Michigan",To support a program of summer science institutes in mathematics and ecology,"250,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                     (),Missouri Botanical Garden,"St. Louis, Missouri",To complete the Foundation's support of plant research in South America,"200,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                     (),Missouri Botanical Garden,"St. Louis, Missouri",To support the creation of a coordinated digital data- base of images and information on African plants,"180,000"
2003,CONSERVATION AND THE ENVIRONMENT                                                                     (),Museum National d'Histoire Naturelle,"Paris, France",To support the creation of a coordinated digital data- base of images and information on African plants,"300,000"
