year,category,recipient,location,grant_description,award_amt
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,Carnegie Mellon University,"Pittsburgh, Pennsylvania",To support research on the interplay between regulations and technological changes in the automotive industry,"85,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,Cornell University,"Ithaca, New York",To support programs of ecosystems research and training,"486,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,Duke University,"Durham, North Carolina",To support programs of ecosystems research and training,"500,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,Duke University,"Durham, North Carolina",To support programs of ecosystems research and training,"330,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,"Ecological Society of America, Inc.","Washington, DC",To support a joint program to encourage minority participation in ecological research and training,"850,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,"Ecological Society of America, Inc.","Washington, DC",To support the expansion of JSTOR's collection of titles in ecology and biology,"109,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                 ,Environmental Law Institute,"Washington, DC",To support research on state approaches to the regulation of nonpoint source water pollution,"200,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Florida International University,"Miami, Florida",To support programs of ecosystems research and training,"440,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Harvard University,"Cambridge, Massachusetts",To support programs of ecosystems research and training,"500,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Harvard University,"Cambridge, Massachusetts",To support programs of ecosystems research and training,"338,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),"Institute of Ecosystem Studies, Inc.","Millbrook, New York",To support a planning workshop for a history of Hubbard Brook Experimental Forest stream ecology,"15,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Johns Hopkins University,"Baltimore, Maryland",To support programs of ecosystems research and training,"150,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Marine Biological Laboratory,"Woods Hole, Massachusetts",To support programs of ecosystems research and training,"850,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Michigan State University,"East Lansing, Michigan",To support programs of ecosystems research and training,"340,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Missouri Botanical Garden,"St. Louis, Missouri",To support World Wide Web access to the information resources of the institution,"400,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),Missouri Botanical Garden,"St. Louis, Missouri",To digitize rare botanical reference works and make high-quality images available to scholars and others using the Internet,"200,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),Nacional Financiera Fideicomiso Fondo,"Mexico City, Mexico",To support programs of ecosystems research and training,"340,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),"Organization for Tropical Studies, Inc.","Durham, North Carolina",To provide support for initiating a program of under- graduate courses in ecology in South Africa for South African and US students,"1,300,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),"Organization for Tropical Studies, Inc.","Durham, North Carolina",To support the establishment of a revolving operating reserve fund,"300,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),Princeton University,"Princeton, New Jersey",To support programs of ecosystems research and training,"650,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),"Royal Botanic Gardens, Kew","Richmond, United Kingdom",To support programs of ecosystems research and training,"340,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),Smithsonian Institution,"Washington, DC",To support programs of ecosystems research and training,"850,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                   (),South African National Parks,"Skukuza, South Africa",To support a planning effort for Kruger National Park that would restructure the ways in which it approves and supports outside research projects,"42,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Trust for Public Land,"San Francisco, California",To provide general support,"1,500,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),Trust for Public Land,"San Francisco, California",To provide general support,"1,000,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),"United Negro College Fund, Inc.","Fairfax, Virginia",To support a joint program to encourage minority participation in ecological research and training,"288,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),University of Alaska at Fairbanks,"Fairbanks, Alaska",To support programs of ecosystems research and training,"260,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),University of California at Santa Barbara,"Santa Barbara, California",To support programs of ecosystems research and training,"700,000"
2002,CONSERVATION AND THE ENVIRONMENT                                                                    (),University of California at Santa Barbara,"Santa Barbara, California",To support programs of ecosystems research and training,"450,000"
